term,term_desc,class,crn,title,building_code,building,official_map_name,room,schedule_days,start_time,end_time,enrolled_students,latitude,longitude,location_scope,coordinate_validation_status,coordinate_notes
202620,Spring 2026,DSGN 390 0,22749,Marketing for Designers,AA,Art Annex,Art Annex,254,MonWed,09:00,10:20,24,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,DSGN 372 0,22393,Digital Design 2,AA,Art Annex,Art Annex,254,MonWed,11:00,13:50,21,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,DSGN 372 0,22394,Digital Design 2,AA,Art Annex,Art Annex,254,MonWed,14:00,16:50,16,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,ART 230 0,22081,Form and Space,AA,Art Annex,Art Annex,152,TueThu,09:00,11:40,18,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,ART 341 0,23962,Ceramics II,AA,Art Annex,Art Annex,052,TueThu,09:00,11:40,18,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,DSGN 486 0,22868,Portfolio,AA,Art Annex,Art Annex,251,TueThu,11:00,13:50,19,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,ART 331 0,22114,Sculpture-Wood,AA,Art Annex,Art Annex,152,TueThu,12:10,14:50,18,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,ART 342 01,21301,Ceramics III,AA,Art Annex,Art Annex,052,TueThu,12:10,14:50,16,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,DSGN 486 0,22869,Portfolio,AA,Art Annex,Art Annex,251,TueThu,14:00,16:50,18,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,DSGN 483 0,22750,Realities of Brand,AA,Art Annex,Art Annex,251,TueThu,17:00,19:50,18,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,DSGN 483 0,22751,Environmental Graphic Design,AA,Art Annex,Art Annex,254,TueThu,17:00,19:50,18,48.73589000151795,-122.48516378700403,main_campus,matched,
202620,Spring 2026,ANTH 215 06,22815,Introductory Biological Anthropology,AH,Arntzen Hall,Arntzen Hall,314,Fri,08:00,09:50,25,48.73373087308233,-122.4856611877701,main_campus,matched,
202620,Spring 2026,ENVS 203 1,21160,Physical Geography,AH,Arntzen Hall,Arntzen Hall,016,Fri,08:00,09:50,29,48.73373087308233,-122.4856611877701,main_campus,matched,
202620,Spring 2026,ANTH 215 03,22812,Introductory Biological Anthropology,AH,Arntzen Hall,Arntzen Hall,314,Fri,12:00,13:50,26,48.73373087308233,-122.4856611877701,main_campus,matched,
202620,Spring 2026,ESCI 340 01,20628,Biostatistical Analysis,AH,Arntzen Hall,Arntzen Hall,005,Fri,13:00,14:20,29,48.73373087308233,-122.4856611877701,main_campus,matched,
202620,Spring 2026,ENVS 305 3,22754,Introduction to Environmental Studies II: History and Policy,AH,Arntzen Hall,Arntzen Hall,018,Fri,14:00,14:50,19,48.73373087308233,-122.4856611877701,main_campus,matched,
202620,Spring 2026,ENVS 305 2,22753,Introduction to Environmental Studies II: History and Policy,AH,Arntzen Hall,Arntzen Hall,018,Fri,15:00,15:50,9,48.73373087308233,-122.4856611877701,main_campus,matched,
202620,Spring 2026,ENVS 201 3,23412,Understanding Environmental Information,AH,Arntzen Hall,Arntzen Hall,005,Fri,16:00,17:50,24,48.73373087308233,-122.4856611877701,main_campus,matched,
202620,Spring 2026,ENVS 203 4,21163,Physical Geography,AH,Arntzen Hall,Arntzen Hall,016,Fri,16:00,17:50,30,48.73373087308233,-122.4856611877701,main_campus,matched,
202620,Spring 2026,ANTH 215 04,22813,Introductory Biological Anthropology,AH,Arntzen Hall,Arntzen Hall,314,Mon,08:00,09:50,27,48.73373087308233,-122.4856611877701,main_campus,matched,
